season,greenhouse,light,heat,variety,side,plot
1,A,2,2,R,n,1
1,A,3,1,R,n,2
1,A,1,4,R,n,3
1,A,4,3,R,n,4
1,A,4,3,R,s,5
1,A,2,4,R,s,6
1,A,3,2,R,s,7
1,A,1,1,R,s,8
1,A,2,3,F,n,9
1,A,1,1,F,n,10
1,A,4,4,F,n,11
1,A,3,2,F,n,12
1,A,4,4,F,s,13
1,A,3,3,F,s,14
1,A,2,1,F,s,15
1,A,1,2,F,s,16
1,B,3,1,R,n,17
1,B,4,4,R,n,18
1,B,1,3,R,n,19
1,B,2,2,R,n,20
1,B,2,3,R,s,21
1,B,1,4,R,s,22
1,B,3,2,R,s,23
1,B,4,1,R,s,24
1,B,1,2,F,n,25
1,B,2,3,F,n,26
1,B,4,4,F,n,27
1,B,3,1,F,n,28
1,B,4,1,F,s,29
1,B,3,3,F,s,30
1,B,1,2,F,s,31
1,B,2,4,F,s,32
2,A,2,4,R,n,33
2,A,4,3,R,n,34
2,A,1,1,R,n,35
2,A,3,2,R,n,36
2,A,2,4,R,s,37
2,A,3,1,R,s,38
2,A,1,2,R,s,39
2,A,4,3,R,s,40
2,A,3,3,F,n,41
2,A,1,2,F,n,42
2,A,2,1,F,n,43
2,A,4,4,F,n,44
2,A,2,3,F,s,45
2,A,4,1,F,s,46
2,A,1,4,F,s,47
2,A,3,2,F,s,48
2,B,4,4,R,n,49
2,B,3,2,R,n,50
2,B,1,1,R,n,51
2,B,2,3,R,n,52
2,B,1,1,R,s,53
2,B,2,2,R,s,54
2,B,3,3,R,s,55
2,B,4,4,R,s,56
2,B,1,3,F,n,57
2,B,3,4,F,n,58
2,B,2,2,F,n,59
2,B,4,1,F,n,60
2,B,4,1,F,s,61
2,B,1,2,F,s,62
2,B,3,4,F,s,63
2,B,2,3,F,s,64
